,question,result
31,What is the minimum percentage that an OBC category student of class 12th (science) need to take admission in marine engineering?,()
32,Which is better b.tech from private college or bsc from DU in terms of placement oppertunities,()
33,Am I eligible for BITS exam? I am doing 12th from Maharashtra board and the result will be declared in the month of May.,()
34,What is the process and eligibility criteria to make career into the profession of Radio Jockey?,()
35,"Hi, Can someone please share sample entrance exam paper for Aptitude test conducted by IIMM for PGDLM/ PGDMM courses?",()
36,Jee mains 154 advanced 112 cbse XII 78.8% what colleges can i expect in ccb counselling?,()
37,What is the minimum salary package offered at FMS Delhi?,"('LISTING-placements-indirect-factual',)"
38,"Which is better for a B.COM graduate with H&amp;N among- Bachelor of Information Technology, IGNOU and Cisco Certification?","('COMPARISON-course comp-indirect-opinion',)"
39,i want to know BScIT. I am going on this course. but when i putup the form  than don't give the opption of BScIT why?,()
40,Is there any special course to study about anesthesia?,()
41,Which university is better for Diploma in mechanical engineering among YMCA University and LPU?,()
42,"sir am from middle class. im droped my degree because of my family situation. so, please let me know is there any consession in fees","('LISTING-Fees-direct-opinion',)"
43,I have a backlog in my 6th semester Bsc. But i will be able to finish the backlog before november. will i be able to apply for cat.,()
44,got in christ university kengeri campus?is it as good as the main campus?,()
45,What is the eligibility criteria to pursue Bachelors in Arts?,()
46,Which is the best college to do LLM in UK? What are the total expenses for the same?,()
47,I am in 12th right now. Will I be eligible for IISER Aptitude Test of 2019?,()
48,"Hi , can I know average package and highest package offered this year in placements for MMS finance this year?","('LISTING-placements-direct-factual', 'LISTING-placements-direct-opinion', 'LISTING-placements-indirect-factual')"
49,Is it good to pursue B.Tech in mining engineering?,"('LISTING-review-indirect-opinion',)"
50,i m in second year of engg degree i m plan for upsc give some guidelines of preparation for upsc what type of book i want to read?,()
51,How can I get admission in DPSRU for B.Pharma? What is its cut-off?,"('LISTING-Cut off-direct-opinion',)"
52,what is the fee structure of iipm?,"('LISTING-Fees-direct-opinion',)"
53,Jee main score 80 and xiicbse marks 94.2%. passed out from delhi. what will be the home state rank.,()
54,In which college I can get admission to pursue B.Tech in CSE with 70 percent marks in class 12th?,()
55,I have secured 46 marks in JEE Mains and 76% in class 12th. Which is the best engineering college that I can get with this score?,()
56,Are BA LL.B(Hons.) student eligible to sit for UPSC and other competitive exams?,"('LISTING-eligibility-direct-factual',)"
57,How is Narula Institute of Technology for B.Tech?,"('COMPARISON-College comparison-indirect-opinion',)"
58,IS THERE ANY SCHOLARSHIP FOR SC/ST STUDENTS IN IIM?THE FEE IS VERY HIGH THERE.,()
59,Is it good to pursue MBA from COCSIT?,"('LISTING-review-indirect-opinion',)"
60,To which university is its offered certificate affiliated to?,"('LISTING-Affiliation-direct-factual', 'LISTING-Affiliation-direct-opinion')"
61,if i get 100 or less mark in jee mains than am i eligible for this college,()
62,"what is the fees and when are the exams schedule, do they have centre in dehradun &amp;where","('LISTING-Fees-direct-opinion',)"
63,What all subjects should I choose in MBA?  I am into teaching and now looking for administrative posts.,"('COMPARISON-course comp-indirect-opinion',)"
64,Can I get admission in this college within the CAT rank 3000 to 5000? I belong to SC category.,()
65,Which are the best Institutes in Mumbai for MPSC preparation?,()
66,Is there any government college that is offering admission in B.Sc in agriculture on the basis of class 12th marks?,()
67,It is good to do MSc in economics after class 12th in non-medical?,()
68,what is the fee and other charges of B.Tech courses?,()
69,"I got 91% in std 10, 88 in 12 nd has agg 8.2 CGPA in grad. I also had my own startup running for 1 year. min % to get call from IIM A?",()
70,What will be my rank? I have got 75% in PCM and 76 marks in KCET exam.,()
71,"How is Amity University, Noida for distance MBA? Will a distance MBA student be treated as a regular MBA student during placement interview?","('LISTING-placements-direct-factual',)"
72,Can I get admission in NLUJ? Is there any fee concession available in the same? I have done M.Com.,()
73,"I am planning to do MS in Computer science or IT in singapore or canada.what are the universities and cost of fees,food and stay.","('LISTING-Fees-indirect-factual',)"
74,How many marks are required to get admission in CBIT College? I want to do ECE and I belong to BC-D category.,()
75,Will I get admission if i don't qualify Mains? I haven't qualify qualified JEE Mains.,()
76,Will it affect my profile if I drop out of the college for a year to prepare for CAT exam?,"('EXAM-preparation-direct-opinion',)"
77,When will be the jee main paper 2 results declared? please reply,"('EXAM-sample papers-direct-factual', 'EXAM-sample papers-direct-opinion')"
78,From which university XIDAS is affiliated to? Can you tell me about the placements of this college?,"('LISTING-placements-direct-opinion',)"
79,I got 49% in B.Com. Can you suggest any college in Pune for MBA according to my score?,"('EXAM-scores-direct-opinion',)"
80,What is the current placement record of this college? What is the average package offered for each courses?,"('LISTING-placements-direct-factual', 'LISTING-placements-direct-opinion')"
81,Will there be any 2nd list of Jharkhand NEET COUNSELLING MAY I KNOW THE RANK LIST ? I HVE GOT 764 RNK IN JHARKHAND,"('LISTING-Counselling-direct-opinion',)"
82,"How can I get the previous year's first semester question paper of MA in Urdu (Osmania University, Hyderabad)?","('EXAM-sample papers-direct-factual', 'EXAM-sample papers-direct-opinion', 'EXAM-sample papers-indirect-factual')"
83,"How can I prepare for CAT exam? I have to study BBA in English but I am not habituated to study in English medium, how will I cope up?","('EXAM-preparation-direct-opinion',)"
84,"dear sir, i wil complete my bba course in 2012 and when should i apply for cat exam..?? how to apply please help me..",()
85,what abt the fees for this cource???,"('LISTING-Fees-direct-opinion',)"
86,Can anyone tell me where is Giraffe Learning Coaching institute located ?,"('EXAM-coaching -direct-opinion',)"
87,What should I do to prepare for CAT exam along with engineering?,"('EXAM-preparation-direct-opinion',)"
88,What should be my daily timetable to follow in class 12th keeping in mind that i have to appear in jee 2017,()
89,"Which one should I choose among JIIT Noida, Amity University, JSSATE, KIET and Ajay Kumar Garg Engineering College for CSE branch?",()
90,when will be the forms for bfa will be available.,"('EXAM-dates-indirect-opinion', 'EXAM-notification-direct-factual', 'EXAM-notification-direct-opinion', 'LISTING-Admissions-indirect-factual')"
91,Which colleges can I get with an OBC rank of 5K in JEE Mains paper-2? What should I do?,"('EXAM-answer key-direct-factual', 'EXAM-sample papers-direct-factual', 'EXAM-sample papers-direct-opinion')"
92,What is the difference between Post Graduation Programme(PGP) and MBA?What CAT score is required for the same?I am currently pursuing B.Tech,"('EXAM-scores-direct-opinion',)"
93,How many marks are required in JEE Mains to get a seat in NIT Warangal if my IPE score in 2nd year is 500/530?,()
94,"IMT Hyderabad, NMIMS Hyderabad or IBS Hyderabad. Which of the college to choose from these 3?",()
95,Which field is better for a bright career?,"('COMPARISON-course comp-indirect-opinion',)"
96,"Can I know the last year's cut-off for B.Com course in St. Xavier's College, Churchgate?",()
97,"How to fill ITER, Bhubaneswar college application form 2017? What is its annual fees?",()
98,"Which institute is better: Jaipuria Institute of Management, BIMHRD or MITSOM?",()
99,which should i prefer in terms of placements- civil at bits pilani or cs at bits goa or cs at nsit delhi,()
100,how to prepare for cat,"('EXAM-preparation-direct-opinion', 'EXAM-scores-indirect-opinion')"
101,What should be the score of CAT and MAH-CET for JBIMS?,"('EXAM-scores-direct-opinion',)"
102,Which course should I pursue among LLB and MBL after CS? Which one has a good scope?,"('COMPARISON-course comp-indirect-opinion',)"
103,What is the minimum marks required bds in maulana azad for general category ?,"('EXAM-cut off-indirect-factual', 'LISTING-Cut off-indirect-opinion')"
104,What is the college code for EAMCET counselling?,"('EXAM-counseling-direct-factual', 'LISTING-Counselling-direct-factual', 'LISTING-Counselling-direct-opinion')"
105,What is the average pay package per annum on campus placements?,"('LISTING-placements-direct-opinion',)"
106,when the voltage at possitive terminal is applied then what path (loop)is followed by the current,()
107,i want to do travel and tourism course can you tell me how much percentage is required to enter in your     university .i m still doing 12th,()
108,sir i have got 87percent in 12 and 61in jee mains......to what rank can i get and which are the best colleges for me,()
109,What is the NMAT score accepted by IBS Hyderabad?,"('EXAM-scores-direct-opinion',)"
110,What is the Placement record of IIBS ?  What about it's infrastructure ?,"('LISTING-placements-direct-opinion',)"
111,How much should one score in class 12th and JEE Mains to get admission in good colleges for CSE?,()
112,When should I pursue CCNA course? Should I do it before or after BCA?,()
113,"I have scored 88.79 in XAT 14 &amp; have 3 years of experience,am i eligible for to apply @ MIT basis XAT.",()
114,"Does the fees of Rs.325000.00 includes hostel charges as well? If not, what are the hostel and mess charges?","('LISTING-Fees-direct-factual', 'LISTING-Fees-indirect-factual', 'LISTING-hostel-direct-factual', 'LISTING-hostel-direct-opinion')"
115,"If a B.Com student has a paper of 2nd year yet to be cleared, is he/she eligible for PO vacancies in banks",()
116,What should I do after completing class 12th? I don't have any idea about my future &amp; have just given my class 12th exams.,()
117,what is examinaion scdule of mp me 2009/date of form submission/when the forms are avilabl?,"('EXAM-dates-direct-factual', 'EXAM-dates-direct-opinion')"
118,how many courses you offered.i want to do a couse of  designing in which i would like to learn to make stands and all.,()
119,Is there any Business School which trains on how to build a resume better for better placements along with MBA..,()
120,"Hello, I am im ny final semester of Electronics and Communication Engineering. I had scored 89% in 10th and 87% in 12th. Further, I have a CGPA of 8.80.I wanted to know what would be the minimum required GRE and TOEFL score required to get admission in a college of my choice.",()
121,Which are the best engineering colleges in Orissa I can opt to pursue computer science and engineering as my score in JEE Mains is 71?,()
122,Can you provide me the reviews for this course?,()
123,what is the minimum marks in jeemains to get admission in DIT. Dehradun without donation,()
124,Is there any change in JEE main ranking list if I opt for open category in JEE advance?,()
125,"Which is the best institutions for android coaching cum placements in hyderabad and whthr the fee to be paid aftr geting a job,is there any",()
126,"How is the placement for marketing at IES? What is highest, lowest and median salary for marketing?",()
127,B/W IMS ENGN. COLLEGE AND ABES engn. college. which one should i choose,()
128,What is the fee for B.Tech in this college?,"('LISTING-Fees-direct-factual',)"
129,"Lloyd collage of management ,Gr. Noida  is better for MBA and how's it's placements in MBA? it's provide a regular degree in MBA?",()
130,Can I get CE in NSIT? I have scored 149 marks in JEE main and 95% in class 12th by WBCHSE. I belong to general category.,()
131,Do colleges have general cut-off ranks only or category wise cut-off ranks are also prepared?,"('LISTING-Cut off-direct-opinion',)"
132,Can I get admission in any of the top engineering colleges in India with good placements?,"('LISTING-placements-direct-opinion',)"
133,is there any GATE coaching centres in kanchipuram,"('EXAM-coaching -direct-opinion',)"
134,In which college can I get admission with 149 marks and 84.90 percent marks in class 12th?,()
135,Can I pursue regular B.Com along with CS?,()
136,What is the minimum score needed inNATAto get admitted into a government college for architecture?,"('LISTING-Cut off-indirect-opinion',)"
137,"How is SRM University, Chennai for pursuing BBA course?",()
138,Can I get admission in any NIT with a CRL rank of 287963 and an SC rank of 17788 in JEE Mains?,"('LISTING-Admissions-direct-opinion', 'LISTING-Admissions-indirect-opinion')"
139,can i join in this college on the basis of aieee aptitude test?,()
140,"How much should I score in class 12th board to get admission for B.Tech in Nirma University, Gujarat?",()
141,How to get admission in DU colleges after passing 12th from science?,()
142,what is the fees of aeronautical eng,()
143,What kind of questions are asked in the entrance test of MJMC and what is the time of the exam?,"('EXAM-pattern-direct-factual', 'LISTING-GDPI-indirect-opinion')"
144,"Is it good to pursue MBA or PGPM from IBS, Bangalore? How are its placements?",()
145,"Can I give JEE Mains and other engineering exams like BITSAT, VITEEE on the basis of NIOS (12th)?",()
146,after completing B.pharmacy which course is better MBA in pharmacy or M.pharmacy?,"('COMPARISON-course comp-indirect-opinion',)"
147,"I have scored 508 marks in MAT, December 2015 exam. Am I eligible for pursuing MBA in finance from VIT?",()
148,"My jeemain marks is 75 and board marks is 478 out of 600 and I belong to OBC ,CAN I GET A SEAT IN NIT SURATKAL?",()
149,Sir i am from obc category n got 186 marks in jee main and 92.4% in cbse board Can i get iiit allahabad Or which is bettr collge dan this ?,()
150,what is the fees in Indian rupees,"('LISTING-Fees-direct-opinion',)"
151,Which is the best coaching center for CLAT preparation in Pune?,"('EXAM-coaching -direct-opinion',)"
152,"Mba hr, or diploma in hr or certificate course?which of them are preferable in market? which option should i consider for my higher studies?",()
153,Can I get the admission call from IIM if I score good marks in B.Sc and CAT exam?,"('EXAM-scores-direct-factual', 'EXAM-scores-direct-opinion')"
154,Will I be eligible to join B.E aeronautical engineering? Which are the best mechanical or aeronautical engineering colleges?,()
155,Where is the Delhi center for GD/PI and what are the dates? I cannot access the website and I have just received a message.,"('LISTING-GDPI-direct-opinion',)"
156,Which is the best coaching institute in Lucknow for CAT preparation?,"('EXAM-GDPI-direct-opinion', 'EXAM-coaching -direct-opinion', 'LISTING-GDPI-direct-opinion')"
157,How much percentage of number are required to get admit in m.sc in computer science.And whether it is aggregate or only in Hons subject,()
158,"Can you provide some details about CII School of Logistics (Amity University, Noida)? I am looking for MBA in operations and supply chain.","('LISTING-placements-direct-factual',)"
159,when the classes get start for Sterling batches ??,()
160,Will my BE aggregate play role during placements ? I am joining Acharya through pgcet. My BE aggregate is 59.36%.,"('LISTING-placements-direct-opinion',)"
161,Do NATA and UPSEE exams take place on the same date every year?,()
162,Can I get admission in NIT with 40 marks in JEE Mains and 93% in class 12th from Andhra Pradesh? I belong to SC category.,"('LISTING-Admissions-direct-opinion',)"
163,which medical college in agra is suitable for doing MD?,()
164,Can you tell how to prepare for GATE exam?,()
165,When will the GD-PI session take place in this college?,"('EXAM-GDPI-direct-opinion', 'LISTING-GDPI-direct-opinion')"
166,Where it is in noida and does it provide IELTS coaching?,()
167,last years cut off list ?,"('LISTING-Cut off-direct-factual', 'LISTING-Cut off-direct-opinion')"
168,What is first year total fees for BCA at VIT?,"('LISTING-Fees-direct-opinion',)"
169,I have scored 69%ile in CAT 2017. Which college can I get for PGDM with this score?,"('EXAM-scores-direct-opinion',)"
170,Is library science distance learning course from vinayaka mission university recognised by DEC?,()
171,My interest is in cooking. Which is the best career option for me right now as I am pursuing BBM (2nd year)?,()
172,is it difficult to do architecture course for commerce students,()
173,I want to know about the syllabus of M.A. in hindi of barkatulla university bhopal can i apply for part time course,"('EXAM-syllabus-direct-opinion',)"
174,"I want to ask about the selection process. Am I eligible?10th-ICSE-76%12th-ICSE-68%B.com, 50% and in final yearExpecting 80  In MAT",()
175,What is the average placement package offered by FMS ?,"('LISTING-placements-direct-factual', 'LISTING-placements-direct-opinion')"
176,What is the difference between B.Sc and M.Sc?,"('COMPARISON-course comp-indirect-opinion',)"
177,what's the syllabus for mba in hospital management,"('EXAM-syllabus-direct-factual', 'EXAM-syllabus-direct-opinion')"
178,Which course has more value among MBA and PGDM?,()
179,Which are the best colleges for BBA Tourism and Hospitality in India and why?,"('COMPARISON-College comparison-direct-opinion',)"
180,What are the important chapters for JEE Mains and BITS 2018?,()
181,"Thanks again Sir/Madam for your valuable advice on STG Final touch Program. I checked throughly with STG on their appointment letter thing and after completion of the program they can put a student in four different categories based on performance. One of which is their SOFTWARE EDUCATON GROUP WHERIN A STUDENT WILL BE ASKED TO BECOME AN INSTRUCTOR IN OF THEIR TEACHING CENTRE,WHICH I CERTINLY DO NOT WANT after spending 70,000 rupees on the Dot Net/Java course. The other three are implementation,develpoment and centre of excellence. I am really confused as one has to score atleast 70% to clear the module and they were not clear on what basis they will put the students in the above fields.Just said it will be performance based. Sir one thing more is they are charging 60,000 plus tax for 186 hrs of study,is it really worth? Sir/Madam Please advice me on this ! Thanks in advance Regards.",()
182,when the classes will be started for MPSC and how much fee will be there??,()
183,"is there any short term distance program/course,which can be done along with B.Tech??",()
184,Can I get CSE in NSIT? I have scored 108 in JEE mains and I am expecting 90% class 12th. I belong to general category.,()
185,from which university is rai foundation affiliated?,"('LISTING-Affiliation-direct-factual', 'LISTING-Affiliation-direct-opinion')"
186,What is cutoff jee mains marks for delhi technological institute,()
187,When will the PGAT (M.Sc) result of Allahabad University be released?,()
188,How many marks are needed in 12th to pursue B.Tech?,()
189,is llb is a better option for a girl student than btech,"('COMPARISON-course comp-indirect-opinion',)"
190,How can I get admission in this college for MBA 2017-19 batch without appearing for CAT? I have scored 70% average marks in BBA.,()
191,what's the correct time to join this institute ?,()
192,What is all india ranking of MBA Course from Lucknow University,()
193,"Which college is better among RCE, AKGEC, JSSATE, Noida and Galgotia College for CSE?","('COMPARISON-College comparison-indirect-factual',)"
194,On what topics should I focus the most on the especially in maths and logical reasoning?,()
195,"Which is the better college amongst Pune institute of Business management, Sinhgad Institute-Pune &amp; Shree Balaji institute of management?","('COMPARISON-College comparison-direct-opinion',)"
196,"I am M.Com student want to join CIMA, UK, is it right decision.",()
197,"Which institute is better for pursuing PGDM: Indira Institute of Management, Pune or MITSOB?",()
198,how can I apply without research work in abroad university?,()
199,How can I prepare for CS (company secretory)?,"('EXAM-preparation-direct-opinion',)"
200,Can I get any kind of concession in the MBA fee as it is very high?,()
201,Which is the best time to prepare for CAT 2017?,"('EXAM-preparation-direct-opinion', 'EXAM-scores-indirect-opinion')"
202,What is the eligibility criteria to become an air traffic controller? Which are the top institutes for the same?,()
203,What would be the expected cut-off in BCECE (Mains) for engineering course (PCM)?,()
204,What is the maximum age limit for Cat exam ?,"('LISTING-Entrance exam-direct-opinion',)"
205,Which NIT will I get? I have scored in class 12th: 97% from Telangana state board and JEE main: 115 marks. I am belongs to OBC NCL category.,()
206,how can i prepare for ias,"('EXAM-preparation-direct-opinion', 'EXAM-scores-indirect-opinion', 'LISTING-GDPI-indirect-opinion')"
207,"Which one is better NDIM, Delhi and ISB&amp;M, Pune for PGDM in terms of education and placement?",()
208,How can I apply to any international university? What is the required paperwork for the same?,()
209,what is fee structure for btech cse,"('LISTING-Fees-direct-factual', 'LISTING-Fees-direct-opinion')"
210,What is the syllabus of NIFT entrance exam?,"('EXAM-syllabus-direct-factual', 'EXAM-syllabus-direct-opinion')"
211,please help me to confirm MSRIM affiliation with mysore univ. i heared it has &quot;outer centre&quot; status but not affiliation. don know difference,()
212,What is the eligibility criteria to get admission? I have completed BE in computers.,"('EXAM-eligibility-direct-opinion', 'LISTING-eligibility-direct-factual')"
213,when does mca classes starts,()
214,What is the cut-off of DU for B.Com?,"('LISTING-Cut off-direct-opinion',)"
215,What is the current exam pattern  of CAT? Is that written or online?,()
216,how much a mbbs mha combo earn money?? and how does one enter into IT sector or insurance  companies after persuing MHA.?,()
217,Is it worth to join KITM?,"('EXAM-coaching -indirect-opinion',)"
218,How are the placements and average salary packages? Are practical training given like internships?,"('LISTING-placements-direct-opinion',)"
219,Which are the top coaching institutes for CLAT in Bhopal?,"('EXAM-coaching -direct-opinion',)"
220,what is the fees for MCA,"('LISTING-Fees-direct-opinion',)"
221,Which engineering branch is better in terms of scope between CS and mechanical?,"('COMPARISON-course comp-indirect-opinion',)"
222,Which MBA entrance exams are accepted for admission in this college? What is their cut-off?,()
223,Which of these is better: BE in Computer Engineering from Thapar University or B.Tech in CSE from VIT University?,"('COMPARISON-College comparison-indirect-factual',)"
224,whats the fees ?,"('LISTING-Fees-direct-factual', 'LISTING-Fees-direct-opinion')"
225,Am a middle class boy i wanna do b.tech from bangloe can u suggest some best intritute with middle range ?,()
226,How are the placements of B.Tech in Food Technology from Anna University?,"('LISTING-placements-direct-opinion',)"
227,What is the syllabus  for B.A(History hons.) ?,"('EXAM-syllabus-direct-factual', 'EXAM-syllabus-direct-opinion')"
228,Which test can help me to get MS in Germany or UK? What would be the approximate cost of completion of MS after getting scholarship?,"('LISTING-Fees-indirect-factual',)"
229,Is AMIE better to study than BE?,"('COMPARISON-course comp-indirect-opinion',)"
230,what is the syllabus of ip cet for b.tech persuining on 4th june 2011,"('EXAM-syllabus-direct-opinion',)"
231,Which coaching institute is better for NEET preparation among Allen-Chandigarh and Allen-Jaipur?,()
232,how many years it will be taken for bbm coures ? what is the useful for doing bbm coures?,()
233,what is  course chose for in 12th passed,()
234,Is it worth to invest Rs.8.6 lakhs as the ROI for a fresher is low?,()
235,"How is the placement of Amity Business School, Noida and what is the average package offered to the students of this college?","('LISTING-placements-direct-factual', 'LISTING-placements-direct-opinion')"
236,I got compartment in maths. is it possible to get admission in MBBS after qualifying the compartment exam ?,()
237,"Can I get admission in any of the IIMs for pursuing MBA with 99 percentile in CAT, 68 percent marks in class 12th? I belong to SC category.",()
238,For which we can apply after bsc,"('LISTING-Admissions-indirect-factual',)"
239,Which career option is better between mass communication or hotel management?,"('COMPARISON-course comp-indirect-opinion',)"
240,What is the minimum fees of JEE preparation coaching institutes?,"('EXAM-coaching -direct-opinion',)"
241,What are the subjects offered and syllabus details?,"('EXAM-syllabus-direct-factual', 'EXAM-syllabus-direct-opinion')"
242,Which are the top courses for strategic management?,()
243,"Which is the best college for BCA in Meerut among Subharti University, Bharat Institute of Technology and Shobhit University?","('COMPARISON-College comparison-indirect-opinion',)"
244,Can i change my college after my first counselling from ip university???? wots the procedure...and cani get the college dat i want..??,"('LISTING-Counselling-direct-opinion',)"
245,Which is a good college to pursue B.Tech in IT and does not require JEE Mains marks for admission?,()
246,"Can I get a scholarship or concession in fee in Thapar University?
",()
247,My friend scored 530 in NEET phase 1 and belong to OBC category. Can she get a seat in a government college in Karnataka?,()
248,what is the scope of mba in 'infrastructure finance'?,()
249,Hi i am doing engg. &amp; wants to join UPSC coaching classes,"('EXAM-coaching -direct-opinion',)"
250,How can I apply for Ph.D in USA or Germany?,()
251,wat is fees for the this Diploma ?,"('LISTING-Fees-direct-opinion',)"
252,which specialization sud i opt for mba at amity for good placements?,"('LISTING-placements-direct-opinion',)"
253,Can you mention some tips and tricks for time management in JEE mains and IIT JEE advanced?,()
254,"Can I get admission in this college on the basis of good CAT or MAT score,even if my aggregate is less than 50%?","('EXAM-scores-direct-opinion',)"
255,Which colleges one should shortlist during PGCET counseling for MBA in terms of placements and recognition?,"('LISTING-placements-direct-opinion',)"
256,Is it a good idea to drop a year for engineering?,()
257,Which stream in Mba will be suitable for me?  I have not given CAT exam this year.  I am studying Instrumentation Engineering final year.,()
258,What is the fee structure for 1st year in CSE?,"('LISTING-Fees-direct-opinion',)"
259,what is the fees for three years and other fees including hostel fees,"('LISTING-Fees-direct-factual', 'LISTING-Fees-direct-opinion')"
260,What are the documents required to get admission for Diploma in engineering?,()
261,Is it correct to do MS without appearing for GRE?,()
262,"Which one is better, actuarial science or architecture?",()
263,Got a call for GD/PI from IBS Hyderabad. How is this college in terms of ROI and other aspects?,"('LISTING-GDPI-direct-opinion',)"
264,"i am student of 4th yr b,pharm from india,which is gradute degree in india . am i elgible to take admission for master degree in your univer",()
265,"What is the all India ranking of Birla Global University, Bhubaneswar?",()
266,Which course should I pursue from Canada: PG diploma in mechanical or masters in Canada?,()
267,What is the AIEEE rank required to get admission in Computer Science Engineering Thapar university?,()
268,"What is the admission procedure,eligibility and fee structure for MBA in Airline and Airport Management?",()
269,"Is Reva University better than Christ Faculty of Engineering in terms of teaching, placements &amp; extracurricular activities for CS branch?",()
270,i'm working as a computer professional in dubai. i couldn't pass in my higher secondary course( 2). Now i'm sad. i've a one year diploma course got from a education trust. i was joined in BBA course of Periyar university. i couldnt also complete it. now i would like to take a MBA. Can i get any help?,()
271,"i am a xii student and sitting for exams this year, i want to get admission in  institute of Hotel Management and catering technology and applied nutrition, when will the forms for admission available?",()
272,sir I am Bhartendu  i want to appear for the cds exam which is in feb?? want to know the dates of the cource if provided,()
273,"Which institute is better among Vignana Jyothi Institute of Management, Hyderabad and Ramaiah Institute of Management Studies?","('COMPARISON-College comparison-direct-opinion',)"
274,How many times CAT is held in a year?,()
275,"I am getting EEE branch in Thapar University, do I have to book a seat in Thapar university or wait for counseling?",()
276,Is this university approved by DGMS?,"('LISTING-Affiliation-indirect-factual',)"
277,1.What are the notifications and application details for PGCET exam 2012?,()
278,how many colleges are resently have seets for m.tech colleges on college level counseling,()
279,What can I do with 50 marks in JEE Mains?,()
280,sir tell me the last year cutoff for retail management of cmat and xat?how many intakes through cmat are in retail?Feb cmat score considers?,()
281,What is the fee structure of MMS for OBC candidates?,()
282,what is the fee structure of M.C.A?,"('LISTING-Fees-direct-opinion',)"
283,Symboisis bba pi and wat is difficult and what questions do they ask??,()
284,"i wanted to do M.B.A in U.K.i got invitation from cardiff,coventry and aberdeen universitys. does them provide placements?",()
285,What is the living expenses in Germany for one month other than university fee?,()
286,"Can you tell me the difference between correspondence, part-time and distance courses?",()
287,why bba is better than b.com?,"('COMPARISON-course comp-indirect-factual', 'COMPARISON-course comp-indirect-opinion')"
288,"Which college is better to pursue B.Tech biotechnology: Jaypee University, Sharda University or NIET?please suggest me fast please","('COMPARISON-College comparison-indirect-factual',)"
289,What is the eligibility criteria for an OBC candidate to get admission in IIT next year?,()
290,"Sir, Kindly tell me dates and fee stricture of corresponding mba for 2012. Thank You",()
291,What should I choose among B.Ed and business studies? I have just completed my class 12th with science.,()
292,can anyone tell me about the dates of karnataka pgcet 2011 for MBA??,()
